subj_id,tta_condition,d_condition,loss,alpha,beta,theta,b_0,k,tta_crit,ndt_location,ndt_scale
129,NA,NA,0.3981300048176575,1.4651007960130298,0.01866371015796871,6.680473059125718,1.3588252810618253,1.3563597928672095,3.860662349330297,0.26484990080693477,0.047673640399029875
280,NA,NA,0.3199421640398571,2.1664843496783113,0.038773642954456455,9.472298237411072,4.212950056755373,0.7191243965664905,5.941148877020455,0.24034450925305084,0.009653391319983523
525,NA,NA,0.32970081330693723,1.1335177222217623,0.027239167122301466,7.574976609967568,1.051087497520297,0.10279836208366103,3.976779140812865,0.12739789341860608,0.07373723457906307
616,NA,NA,0.21478461798820128,2.0196247704281935,0.04102097077291119,10.751196961446896,0.8483470166396713,0.20049069218802446,5.333475682900997,0.47819922353025596,0.11058577647850998
618,NA,NA,0.5452463520046457,1.2025507852850195,0.029875238005312596,7.956272219294291,1.3257872072408667,0.8034429877120648,3.3360200759541954,0.11669863781358825,0.04768339196951066
652,NA,NA,0.6505556142864799,1.7854055323866167,0.013603965061492824,6.981797871525728,1.0855877571768437,0.10945981082870027,3.038808791676191,0.622211372239921,0.15749893485645133
755,NA,NA,0.5319200800438687,0.44929348240359995,0.151841590988865,22.27786200025517,1.0491056249208157,0.39926640240406647,5.212551054029148,0.3177757598417265,0.09540360497870143
776,NA,NA,0.3874584669514397,4.857660669975236,0.03842879451756696,8.854949329894124,0.5741764362508311,0.6750916984035769,5.543533490618568,0.4417445395291942,0.13115874031050867
827,NA,NA,0.7195596898596723,4.952818168224897,0.023484673682976298,7.019832147052048,0.5126574895624052,0.460045180977248,5.977391749750867,0.43627196042761657,0.18007266408800138
853,NA,NA,0.2871571792812621,0.693255461576695,0.11598570555895421,21.220282775536155,0.9473808835149524,0.10266064917278606,3.9129998382311397,0.3848811973236618,0.029693328159185073
913,NA,NA,0.3257403542799711,2.3418862561620823,0.013647367814772,6.10758947552625,0.7324501889080753,0.14708166550056906,3.1781716280885375,0.34438782212955793,0.078173648516156
969,NA,NA,0.06037719584468809,4.979200386987878,0.157210450629847,23.618157882071305,0.5326631890156941,1.9768351449046238,5.096570792464508,0.4170082899047778,0.09882764267480076
996,NA,NA,0.9593405241342734,3.220153954484413,0.05986687567434318,10.707635304427042,1.5252320437870535,1.9748220637812575,5.8997588593332635,0.41081217505303724,0.15226406469945225
all,NA,NA,0.07429218844899814,1.141096596296568,0.04241416429755681,9.886499772856308,0.9014602247251242,0.28578324412983847,4.153265087465407,0.36517188745139545,0.0572212129869341
